Date,Open,High,Low,Close,Volume
11-Jun-01,10974.80,11038.60,10819.30,10922.10,8701000
8-Jun-01,11095.60,11096.50,10882.90,10977.00,7262000
7-Jun-01,11069.60,11169.30,10940.10,11090.70,10896000
6-Jun-01,11177.70,11236.70,10998.50,11070.20,10619000
5-Jun-01,11061.40,11235.00,10973.10,11175.80,11168000
4-Jun-01,10991.80,11126.00,10898.80,11061.50,8365000
1-Jun-01,10913.60,11063.60,10793.50,10990.40,10150000
31-May-01,10873.20,11023.30,10798.50,10911.90,12266000
30-May-01,11033.00,11089.90,10819.70,10872.60,11586000
29-May-01,11004.70,11163.00,10913.40,11039.10,10260000
25-May-01,11122.00,11166.90,10949.00,11005.40,8281000
24-May-01,11107.10,11248.20,10977.20,11122.40,11007000
23-May-01,11257.80,11308.40,11033.20,11105.50,11348000
22-May-01,11339.80,11411.60,11162.80,11257.20,12604000
21-May-01,11299.10,11436.40,11149.80,11337.90,11749000
18-May-01,11245.80,11374.90,11123.00,11301.70,11308000
17-May-01,11218.70,11413.50,11104.30,11248.60,13556000
16-May-01,10864.70,11258.20,10779.70,11215.90,14053000
15-May-01,10877.50,10979.40,10752.70,10873.00,10718000
14-May-01,10819.60,10930.10,10730.70,10877.30,8582000
11-May-01,10908.30,10969.40,10716.20,10821.30,9062000
10-May-01,10868.90,11049.40,10826.90,10910.40,10567000
9-May-01,10876.00,10964.80,10739.80,10867.00,11324000
8-May-01,10936.70,11001.70,10755.10,10883.50,10063000
7-May-01,10952.40,11059.50,10822.70,10935.20,9490000
4-May-01,10793.20,10990.00,10638.50,10951.20,10821000
3-May-01,10872.30,10911.10,10658.00,10796.70,11379000
2-May-01,10902.80,11024.30,10726.80,10876.70,13422000
1-May-01,10734.10,10966.10,10669.30,10898.30,11813000
30-Apr-01,10814.40,10973.20,10666.10,10735.00,12260000
27-Apr-01,10695.00,10894.60,10632.40,10810.10,10913000
26-Apr-01,10633.00,10820.70,10534.00,10692.40,13452000
25-Apr-01,10453.40,10676.00,10373.10,10625.20,12036000
24-Apr-01,10529.80,10694.60,10401.50,10454.30,12165000
23-Apr-01,10571.00,10669.70,10393.10,10532.20,10126000
20-Apr-01,10690.30,10755.50,10445.40,10579.90,13387000
19-Apr-01,10616.10,10768.30,10468.80,10693.70,14868000
18-Apr-01,10226.90,10806.40,10215.70,10615.80,19189000
17-Apr-01,10151.70,10286.60,9980.20,10216.70,11096000
16-Apr-01,10118.20,10282.40,9991.10,10158.60,9139000
12-Apr-01,10013.10,10178.20,9862.70,10126.90,11020000
11-Apr-01,10109.10,10246.60,9898.80,10013.50,12903000
10-Apr-01,9850.40,10226.90,9850.40,10102.70,13496000
9-Apr-01,9793.60,9999.40,9699.90,9845.20,10628000
6-Apr-01,9913.90,9951.70,9600.90,9791.10,12668000
5-Apr-01,9527.20,9969.90,9527.20,9918.10,13680000
4-Apr-01,9481.00,9693.10,9303.50,9515.40,14255900
3-Apr-01,9774.80,9779.70,9385.40,9485.70,13861000
2-Apr-01,9877.20,10043.00,9638.40,9777.90,12042000
30-Mar-01,9799.50,9998.50,9685.10,9878.80,12808000
29-Mar-01,9784.90,9950.20,9583.70,9799.10,12345000
28-Mar-01,9939.70,9939.70,9607.10,9785.40,13334000
27-Mar-01,9687.90,10013.00,9584.30,9947.50,13142000
26-Mar-01,9509.30,9820.50,9489.80,9687.50,11140000
23-Mar-01,9395.60,9631.80,9249.60,9504.80,13649000
22-Mar-01,9490.70,9565.40,9047.60,9389.50,17239500
21-Mar-01,9717.50,9807.10,9391.40,9487.00,13463000
20-Mar-01,9961.10,10130.50,9675.50,9720.80,12359000
19-Mar-01,9820.10,10059.10,9720.90,9959.10,11262000
16-Mar-01,10023.60,10119.40,9720.20,9823.40,15435600
15-Mar-01,9982.90,10190.80,9887.70,10031.30,12595000
14-Mar-01,10279.40,10279.40,9817.70,9973.50,13974000
13-Mar-01,10206.90,10397.80,10021.60,10290.80,13609000
12-Mar-01,10638.50,10638.60,10138.90,10208.30,12290000
9-Mar-01,10850.10,10874.20,10520.40,10644.60,10859000
8-Mar-01,10727.20,10940.50,10626.00,10858.30,11141000
